City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,ambagarh chauki,20.7833,80.7167,23.8,65,0,1.05,IN,1697333562
193,la'ie,21.6477,-157.9253,29.47,69,49,0.89,US,1697333562
194,leava,-14.3,-178.1667,26.6,82,29,9.16,WF,1697333004
195,el nido,11.1858,119.3956,28.15,76,100,2.2,PH,1697333005
196,mount pearl,47.5166,-52.7813,11.85,98,100,5.14,CA,1697333003
197,franceville,-1.6333,13.5836,20.0,98,100,0.92,GA,1697333562
198,tonj,7.2737,28.6822,21.48,94,64,2.03,SS,1697333563
199,baishishan,43.5833,127.5667,11.3,42,46,5.36,CN,1697333563
200,kapuskasing,49.4169,-82.4331,7.05,81,100,3.6,CA,1697332943
201,ratnagiri,16.9833,73.3,25.66,76,6,1.76,IN,1697333563
202,rio branco,-9.9747,-67.81,26.34,89,40,0.0,BR,1697333563
203,pallasovka,50.05,46.8833,8.6,90,6,3.35,RU,1697333563
204,amursk,50.2261,136.8994,9.99,62,26,4.81,RU,1697332979
205,tuszyn,51.6095,19.5301,7.79,87,20,5.14,PL,1697333563
206,polyarnyy,69.1989,33.4478,2.46,97,100,14.14,RU,1697332998
207,ola,59.5833,151.2833,-1.03,60,100,1.1,RU,1697333563
208,arraial do cabo,-22.9661,-42.0278,20.74,84,100,4.3,BR,1697333564
209,chifeng,42.2683,118.9636,11.09,23,0,8.13,CN,1697333564
210,ballina,-28.8667,153.5667,29.32,49,0,3.67,AU,1697333564
211,kaeng khro,16.1086,102.2581,26.7,75,57,1.61,TH,1697333564
212,santo antonio do ica,-3.1022,-67.9397,25.56,74,8,1.02,BR,1697333564
213,berasia,23.6333,77.4333,23.25,49,3,2.3,IN,1697333404
214,prado,-17.3411,-39.2208,23.36,91,72,2.17,BR,1697333564
215,tura,25.5198,90.2201,24.02,72,0,0.36,IN,1697333564
216,port elizabeth,-33.918,25.5701,12.95,97,40,2.06,ZA,1697333564
217,saldanha,-33.0117,17.9442,18.03,72,100,5.17,ZA,1697332965
218,talakan,50.3167,130.3667,3.81,59,97,5.48,RU,1697333564
219,manggar,-2.8833,108.2667,28.83,69,100,5.66,ID,1697333565
220,saint-joseph,-21.3667,55.6167,21.21,78,18,3.39,RE,1697333565
221,selkirk,50.1436,-96.8845,7.04,73,0,1.82,CA,1697333469
222,west end,26.6833,-78.9667,28.99,80,81,2.51,BS,1697333560
223,es castell,39.8795,4.2854,21.38,94,20,3.09,ES,1697333565
